Matrix,n,nnz,flops,Tile_preprocess_ms,Tile_step1_ms,Tile_step2_ms,Tile_step3_ms,Tile_malloc_ms,Tile_total_ms,Tile_GFlops,GPU_step1_ms,GPU_step2_ms,GPU_step3_ms,GPU_total_ms,GPU_GFlops,Speedup
StocF-1465,1465137,21005389,310855795,362.52,5.39,39.9,37.99,1.22,84.56,7.35,17.6,24.64,34.74,76.98,8.08,1.10x
TEM152078,152078,6459326,316248060,101.64,1.23,4.5,15.63,0.93,22.35,28.3,0.93,3.59,6.87,11.4,55.51,1.96x
TEM181302,181302,7839010,389462070,113.78,1.27,5.52,19.39,0.93,27.16,28.68,1.07,4.51,8.52,14.11,55.22,1.92x
TSC_OPF_1047,8140,2016902,1352381644,64.89,0.97,2.58,44.09,0.46,48.16,56.16,0.71,1.35,3.83,5.89,459.27,8.18x
TSOPF_FS_b300,29214,4400122,14023656792,347.87,1.49,11.89,1029.04,0.98,1043.46,26.88,1.43,6.82,29.59,37.84,741.26,27.58x
TSOPF_FS_b300_c1,29214,4400122,14023656792,369.73,1.5,12.22,1017.49,0.95,1032.22,27.17,1.44,6.81,29.6,37.85,740.92,27.27x
TSOPF_FS_b300_c2,56814,8767466,53947137470,1231.86,2.52,42.04,801.65,1.22,847.48,127.31,2.37,15.27,110.2,127.83,844.03,6.63x
TSOPF_FS_b300_c3,84414,13135930,119817914048,2578.3,3.7,70.75,1502.05,1.63,1578.19,151.84,3.74,25.3,246.38,275.43,870.05,5.73x
TSOPF_RS_b2052_c1,25626,6761100,53335853,127.65,0.78,0.58,9.08,0.57,11.05,9.66,0.82,0.49,1.09,2.41,44.29,4.59x
TSOPF_RS_b2383,38120,16171169,127949437,342.77,1.1,1.25,17.11,0.95,20.47,12.5,0.85,0.91,2.63,4.39,58.24,4.66x
TSOPF_RS_b2383_c1,38120,16171169,127949437,238.92,1.09,1.23,17.77,0.89,21.03,12.17,0.84,0.93,2.64,4.41,58.07,4.77x
TSOPF_RS_b300_c2,28338,2943887,23017811,93.95,0.77,0.38,6.89,0.38,8.45,5.45,0.64,0.26,0.49,1.39,33.01,6.08x
TSOPF_RS_b300_c3,42138,4413449,34508933,99.41,0.77,0.44,8.84,0.44,10.53,6.55,0.65,0.37,0.71,1.73,39.92,6.09x
TSOPF_RS_b678_c1,18696,4396289,34651853,136.99,0.78,0.46,8.98,0.41,10.67,6.5,0.66,0.38,0.72,1.75,39.61,6.10x
TSOPF_RS_b678_c2,35696,8781949,69226453,166.31,0.92,0.76,13.7,0.66,16.08,8.61,0.85,0.51,1.38,2.74,50.56,5.87x
Transport,1602111,23500731,346715709,224.42,3.08,12.51,17.99,2.0,35.64,19.45,0.69,0.09,0.04,0.81,852.0,44.00x
af_0_k101,503625,17550675,612413375,131.93,1.72,1.67,22.36,0.9,26.7,45.88,1.58,1.24,6.42,9.23,132.63,2.89x
af_1_k101,503625,17550675,612413375,128.14,1.69,1.68,22.25,0.87,26.54,46.15,1.46,1.22,6.41,9.09,134.75,2.92x
af_2_k101,503625,17550675,612413375,125.76,1.78,1.86,22.62,1.0,27.31,44.84,1.55,1.24,6.42,9.21,133.04,2.97x
af_3_k101,503625,17550675,612413375,113.51,1.7,1.63,22.5,0.91,26.79,45.72,1.47,1.23,6.43,9.12,134.32,2.94x
af_4_k101,503625,17550675,612413375,125.56,1.7,1.59,22.19,0.93,26.47,46.27,1.48,1.21,6.41,9.11,134.47,2.91x
af_5_k101,503625,17550675,612413375,140.71,1.69,1.6,22.56,0.88,26.78,45.74,1.47,1.22,6.42,9.11,134.43,2.94x
af_shell1,504855,17588875,613607875,151.7,1.78,1.89,19.65,0.91,24.29,50.53,1.61,1.17,6.46,9.24,132.76,2.63x
af_shell10,1508065,52672325,1840916875,273.63,2.62,4.54,63.17,0.94,71.32,51.62,16.39,3.29,19.4,39.08,94.21,1.82x
af_shell2,504855,17588875,613607875,139.25,1.77,1.63,19.5,0.91,23.86,51.44,1.53,1.17,6.46,9.16,134.0,2.60x
af_shell3,504855,17588875,613607875,147.74,1.78,1.64,19.72,0.88,24.06,51.0,1.53,1.17,6.47,9.17,133.86,2.62x
af_shell4,504855,17588875,613607875,125.83,1.77,1.72,20.22,0.9,24.65,49.78,1.54,1.16,6.47,9.16,133.96,2.69x
af_shell5,504855,17588875,613607875,151.93,1.75,1.59,20.26,0.9,24.56,49.97,1.53,1.17,6.46,9.15,134.05,2.68x
af_shell6,504855,17588875,613607875,130.62,1.74,1.67,19.96,0.85,24.27,50.57,1.52,1.17,6.45,9.14,134.32,2.66x
af_shell7,504855,17588875,613607875,195.27,1.75,1.6,19.86,0.88,24.14,50.84,1.55,1.16,6.45,9.16,133.93,2.64x
af_shell8,504855,17588875,613607875,112.61,1.78,1.65,20.36,0.88,24.71,49.66,1.53,1.17,6.45,9.15,134.11,2.70x
af_shell9,504855,17588875,613607875,112.27,1.77,1.67,19.58,0.89,23.95,51.25,1.54,1.15,6.46,9.15,134.12,2.62x
appu,14000,1853104,263931154,209.24,9.55,59.99,314.75,0.97,385.32,1.37,9.35,121.28,125.72,256.35,2.06,1.50x
as-Skitter,1696415,22190596,32065521958,4536.5,,,,,,,0.77,0.09,0.03,0.89,71821.07,
audikw_1,943695,77651847,8089734897,752.44,11.47,75.83,255.21,1.56,344.13,47.02,7.37,60.64,137.91,205.92,78.57,1.67x
bmw3_2,227362,11288630,603855148,106.07,1.24,4.51,21.5,0.9,28.21,42.81,1.02,2.56,7.13,10.71,112.81,2.63x
bmw7st_1,141347,7339667,404009259,87.21,1.23,2.48,18.27,0.86,22.87,35.33,0.93,1.57,4.65,7.16,112.91,3.19x
bmwcra_1,148770,10644002,812503802,202.38,1.27,4.42,27.9,0.89,34.52,47.07,0.96,3.86,11.08,15.91,102.13,2.17x
bone010,986703,71666325,5451922539,503.96,2.82,14.13,114.48,1.16,132.64,82.21,5.7,11.37,72.24,89.31,122.09,1.49x
boneS01,127224,6715152,394029846,80.48,1.14,1.8,12.33,0.84,16.16,48.78,0.84,1.47,6.06,8.37,94.16,1.93x
boneS10,914898,55468422,3742712082,316.19,2.74,11.37,81.66,1.09,96.92,77.23,4.95,9.47,51.62,66.04,113.34,1.47x
bundle_adj,513351,20208051,33076865781,2022.88,8.22,57.2,588.14,1.72,655.34,100.95,3.16,32.02,0.0,35.18,1880.19,18.63x
cage14,1505785,27130349,532205737,301.43,12.37,85.14,88.25,1.45,187.27,5.68,20.82,60.21,79.9,160.92,6.61,1.16x
cage15,5154859,99199551,2078631615,923.86,49.81,367.38,377.3,2.24,796.77,5.22,0.64,0.09,0.04,0.76,5436.66,1048.38x
cant,62451,4007383,269486473,100.67,0.99,0.73,8.75,0.65,11.16,48.3,0.66,0.62,3.56,4.83,111.48,2.31x
case39,40216,1042160,4048569774,169.52,1.82,5.63,77.96,1.14,86.61,93.49,1.58,3.5,28.61,33.7,240.29,2.57x
channel-500x100x100-b050,4802000,85362744,1522677096,455.18,7.52,60.94,84.85,1.52,154.89,19.66,0.63,0.09,0.04,0.76,4014.99,203.80x
circuit5M,5558326,59524291,10230223504925,,,,,,,,0.67,0.09,0.04,0.8,25583747.15,
coPapersCiteseer,434102,32073440,6822448658,481.17,69.77,151.42,304.66,2.87,528.78,25.8,4.25,122.96,127.22,254.43,53.63,2.08x
coPapersDBLP,540486,30491458,4091407036,575.44,293.28,385.95,396.09,11.23,1086.62,7.53,8.63,322.58,0.0,331.21,24.71,3.28x
com-LiveJournal,3997962,69362378,8580898768,13749.64,,,,,,,0.79,0.09,0.04,0.92,18697.05,
conf5_4-8x8-05,49152,1916928,74760192,69.22,1.11,0.73,3.14,0.83,5.85,25.54,0.73,0.53,1.3,2.57,58.1,2.28x
consph,83334,6010480,463845030,160.96,1.14,1.93,13.4,0.84,17.36,53.44,0.85,1.65,6.48,8.97,103.42,1.94x
cop20k_A,121192,2624331,79883385,167.41,2.73,34.72,17.59,1.06,56.16,2.85,2.01,26.04,17.2,45.25,3.53,1.24x
crankseg_1,52804,10614210,2548688036,154.75,1.7,10.92,96.5,0.97,110.14,46.28,1.39,8.72,26.77,36.88,138.21,2.99x
crankseg_2,63838,14148858,3722717858,367.81,1.95,17.2,135.91,0.99,156.11,47.69,1.68,13.34,39.46,54.49,136.65,2.86x
delaunay_n23,8388608,50331568,316961668,482.0,11.11,88.83,48.44,1.3,149.73,4.23,0.82,0.1,0.04,0.95,665.26,157.61x
delaunay_n24,16777216,100663202,633914372,1105.57,20.78,204.15,97.12,1.59,323.69,3.92,0.81,0.1,0.03,0.94,1346.92,344.35x
dgreen,1200611,38259877,1376588233,3003.68,,,,,,,96.31,0.0,0.0,96.31,28.59,
dielFilterV2clx,607232,25309272,1241976752,397.68,8.37,60.43,109.4,1.38,179.63,13.83,3.73,50.71,73.82,128.25,19.37,1.40x
dielFilterV2real,1157456,48538952,2337362192,512.97,17.86,138.27,226.17,1.49,383.86,12.18,13.62,115.82,156.36,285.8,16.36,1.34x
dielFilterV3clx,420408,32886208,3126458918,580.43,17.01,115.82,238.07,1.38,372.35,16.79,3.83,96.14,130.43,230.41,27.14,1.62x
dielFilterV3real,1102824,89306020,8705461058,1509.84,42.01,323.69,685.82,1.8,1053.38,16.53,17.5,269.27,0.0,286.77,60.71,3.67x
eu-2005,862664,19235140,849268919,281.26,29.27,94.56,122.7,1.76,248.35,6.84,7.1,76.59,78.88,162.56,10.45,1.53x
europe_osm,50912018,108109320,241277568,1226.6,,,,,,,0.83,0.1,0.03,0.96,504.71,
exdata_1,6001,2269501,3390807001,123.52,11.0,2.86,86.7,0.36,100.96,67.17,0.74,1.44,7.31,9.49,714.59,10.64x
fcondp2,201822,11294316,650331072,51.78,1.22,1.95,23.46,0.84,27.51,47.28,0.91,1.3,5.28,7.48,173.86,3.68x
fem_hifreq_circuit,491100,20239237,963431629,234.04,10.57,59.24,70.6,1.31,141.78,13.59,2.85,41.29,46.64,90.78,21.23,1.56x
fullb,199187,11708077,720134257,159.17,1.26,4.13,25.89,0.94,32.28,44.62,0.97,2.44,7.9,11.3,127.42,2.86x
gearbox,153746,9080404,572805818,118.04,1.18,2.13,17.9,0.88,22.15,51.73,1.06,1.91,6.87,9.85,116.29,2.25x
gsm_106857,589446,21758924,947250936,980.4,,,,,,,21.01,0.0,0.0,21.01,90.16,
gupta2,62064,4248286,8157571640,171.27,2.13,26.15,294.26,1.08,323.68,50.41,1.82,0.0,0.0,1.82,8970.83,177.85x
gupta3,16783,9323427,30715971817,962.83,2.08,46.19,897.35,1.12,946.8,64.88,2.02,0.0,0.0,2.02,30469.78,468.71x
halfb,224617,12387821,715500645,118.28,1.17,2.95,27.78,0.87,32.81,43.61,0.95,1.78,6.49,9.22,155.24,3.56x
heart1,3557,1387773,596065851,53.25,0.97,1.06,38.92,0.4,41.4,28.79,0.67,2.49,3.25,6.42,185.81,6.45x
higgs-twitter,456626,14855842,1601068599,1427.52,,,,,,,44.04,0.0,0.0,44.04,72.71,
hollywood-2009,1139905,113891327,95630208429,33822.27,,,,,,,434.05,0.0,0.0,434.05,440.64,
hood,220542,10768436,562028138,56.42,1.13,5.16,20.4,0.89,27.62,40.7,1.07,2.83,8.14,12.04,93.33,2.29x
human_gene1,22283,24669643,71557562711,2703.44,30.49,374.58,3891.52,1.07,4297.71,33.3,30.58,744.33,2159.47,2934.38,48.77,1.46x
human_gene2,14340,18068388,49883051738,1245.15,13.69,91.76,2114.99,0.99,2221.49,44.91,13.57,208.11,1063.47,1285.16,77.63,1.73x
in-2004,1382908,16917053,1708503481,182.57,5.36,16.45,82.97,1.02,105.85,32.28,14.65,10.04,17.89,42.58,80.24,2.49x
indochina-2004,7414866,194109311,346753756151,9286.96,89.06,238.97,5289.73,9.02,5626.84,123.25,0.67,0.09,0.04,0.79,879014.82,7122.58x
inline_1,503712,36816342,3330443366,278.49,14.03,49.91,115.52,1.26,180.78,36.85,4.0,38.17,71.64,113.81,58.53,1.59x
kim2,456976,11330020,281999272,129.19,1.76,2.02,9.78,0.9,14.49,38.91,1.34,1.34,7.39,10.08,55.97,1.44x
kmer_U1a,67716231,138778562,293457606,2825.01,,,,,,,0.9,0.1,0.04,1.03,568.38,
kmer_V2a,55042369,117217600,274563472,2160.89,,,,,,,0.85,0.1,0.03,0.97,564.78,
kron_g500-logn16,65536,4912469,6768428563,832.89,42.06,1573.47,6433.08,1.5,8050.17,1.68,41.81,2220.22,2893.18,5155.21,2.63,1.56x
kron_g500-logn17,131072,10228360,19536683396,2269.43,127.06,12647.68,29755.37,1.86,42532.04,0.92,123.67,9301.06,0.0,9424.74,4.15,4.51x
kron_g500-logn18,262144,21165908,55677340576,6320.36,364.57,52690.99,9780.38,2.27,62838.26,1.77,358.49,0.0,0.0,358.49,310.62,175.29x
kron_g500-logn19,524288,43562265,157019711615,17478.82,,,,,,,1084.15,0.0,0.0,1084.15,289.66,
laminar_duct3D,67173,3833077,286051210,100.3,1.09,1.13,9.72,0.86,12.85,44.54,0.81,1.03,4.55,6.38,89.6,2.01x
ldoor,952203,46522475,2408881377,231.63,3.02,18.37,69.95,1.11,92.51,52.08,5.42,10.68,32.84,48.94,98.45,1.89x
ljournal-2008,5363260,79023142,7828656041,10558.07,,,,,,,0.64,0.09,0.03,0.77,20450.18,
m_t1,97578,9753570,1054513134,162.34,1.16,2.25,28.41,0.87,32.73,64.44,0.82,1.69,7.3,9.8,215.1,3.34x
mac_econ_fwd500,206500,1273389,7556897,34.58,1.16,3.88,3.19,1.01,9.3,1.63,0.96,2.45,2.71,6.12,2.47,1.52x
mawi_201512020030,68863315,143414960,3974321527657862,,,,,,,,0.86,0.1,0.04,0.99,8018952933.57,
mawi_201512020130,128568730,270234840,14207313062962228,,,,,,,,0.9,0.1,0.04,1.03,27603737894.31,
mawi_201512020330,226196185,480047894,44436208638696954,,,,,,,,0.93,0.11,0.04,1.07,82851436872.55,
mc2depi,525825,2100225,8391680,131.77,1.45,1.21,1.02,0.78,4.5,3.73,1.51,0.73,0.93,3.17,5.3,1.42x
mip1,66463,10352819,9789022557,212.79,7.31,38.24,448.58,0.8,494.98,39.55,5.42,26.63,0.0,32.05,610.86,15.44x
mouse_gene,45101,28967291,51703801103,4181.73,133.32,2165.66,12151.62,1.3,14451.95,7.16,134.12,3960.28,5676.33,9770.74,10.58,1.48x
msdoor,415863,20240935,1042194293,212.54,3.1,9.31,35.1,1.14,48.7,42.8,1.49,5.7,16.08,23.28,89.55,2.09x
mycielskian13,6143,1227742,620201162,105.48,1.34,3.7,53.57,0.56,59.22,20.95,1.04,0.0,0.0,1.04,1194.53,56.94x
mycielskian14,12287,3695512,3141203886,237.93,2.11,16.55,185.34,0.95,205.0,30.65,1.92,0.0,0.0,1.92,3263.71,106.77x
mycielskian15,24575,11111110,15864393110,889.05,4.66,80.78,809.09,1.13,895.71,35.42,4.74,0.0,0.0,4.74,6694.29,188.97x
mycielskian16,49151,33382480,79948142970,3058.5,15.33,439.45,411.54,0.78,867.16,184.39,15.69,755.45,0.0,771.14,207.35,1.12x
mycielskian17,98303,100245742,402223349762,15762.78,52.6,2641.33,659.36,1.46,3354.81,239.79,54.3,2100.79,0.0,2155.09,373.28,1.56x
mycielskian18,196607,300933832,2020980818406,71978.44,203.2,16398.78,340.97,1.6,16944.63,238.54,199.73,0.0,0.0,199.73,20236.94,84.84x
nd12k,36000,14220946,5866811560,274.24,1.29,7.0,158.57,0.9,167.82,69.92,0.92,5.03,42.2,48.15,243.71,3.49x
nd24k,72000,28715634,11878868250,279.47,1.68,14.44,298.54,1.02,315.74,75.24,1.06,10.23,87.52,98.81,240.44,3.20x
nd3k,9000,3279690,1275971514,91.77,1.05,1.91,45.04,0.6,48.65,52.46,0.77,2.86,8.93,12.56,203.26,3.87x
nd6k,18000,6897316,2786075040,63.28,1.18,3.59,78.69,0.88,84.38,66.04,0.83,2.46,19.53,22.82,244.15,3.70x
nemeth23,9506,1506810,244444956,95.57,1.21,0.36,16.7,0.46,18.77,26.05,0.64,0.27,1.03,1.93,253.07,9.73x
nemeth24,9506,1506550,244884334,120.82,0.94,0.36,14.59,0.34,16.27,30.1,0.63,0.27,1.07,1.97,248.48,8.26x
nemeth25,9506,1511758,246446874,45.54,0.92,0.35,16.61,0.33,18.25,27.01,0.63,0.27,1.07,1.97,250.64,9.26x
nemeth26,9506,1511760,246447354,78.57,0.96,0.36,14.18,0.36,15.9,31.0,0.63,0.27,1.06,1.96,251.54,8.11x
net150,43520,3121200,467208280,114.06,1.58,13.65,37.29,1.04,53.61,17.43,1.21,11.08,17.99,30.29,30.85,1.77x
nlpkkt120,3542400,96845792,2681554304,425.4,6.5,47.11,96.58,1.35,151.61,35.37,0.75,0.09,0.03,0.88,6103.54,172.28x
nlpkkt160,8345600,229518112,6372858304,1120.69,12.36,151.98,227.03,1.73,393.14,32.42,0.64,0.09,0.03,0.77,16648.01,510.57x
nlpkkt200,16240000,448225632,12466408704,1787.19,23.63,319.24,348.73,1.47,693.13,35.97,0.82,0.09,0.04,0.95,26137.22,729.61x
nlpkkt80,1062400,28704672,790384704,234.97,15.79,16.16,27.9,1.15,61.06,25.89,7.56,7.8,27.68,43.04,36.73,1.42x
ohne2,181343,11063545,755597643,245.42,5.21,39.1,70.97,1.18,116.53,12.97,4.93,32.06,40.22,77.21,19.57,1.51x
opt1,15449,1930655,269171047,77.84,1.04,0.79,12.38,0.42,14.68,36.67,0.66,0.62,1.9,3.18,169.15,4.62x
packing-500x100x100-b050,2145852,34976486,587282846,261.44,3.7,20.63,38.86,1.31,64.55,18.2,0.66,0.09,0.03,0.79,1489.54,81.71x
pattern1,19242,9323432,7292315690,705.77,6.08,50.11,370.21,1.02,427.47,34.12,5.98,0.0,0.0,5.98,2439.4,71.48x
pdb1HYS,36417,4344765,555322659,95.15,1.05,1.03,21.78,0.63,24.54,45.26,0.73,0.85,3.8,5.38,206.48,4.56x
pkustk04,55590,4218660,1003691088,96.98,1.68,6.45,44.68,1.18,54.05,37.14,1.31,4.86,12.35,18.52,108.41,2.92x
pkustk07,16860,2418804,410021730,153.47,1.41,4.96,25.07,1.04,32.53,25.21,0.98,8.68,6.62,16.27,50.39,2.00x
pkustk08,22209,3226671,552893121,80.92,1.54,7.42,30.45,0.99,40.48,27.32,1.13,5.98,9.52,16.63,66.51,2.43x
pkustk10,80676,4308984,233628624,101.85,1.19,1.52,9.33,0.9,12.99,35.98,0.83,1.15,2.74,4.72,98.92,2.75x
pkustk11,87804,5217912,365102640,107.9,1.21,2.48,16.85,0.87,21.45,34.04,0.99,2.1,4.57,7.67,95.23,2.80x
pkustk12,94653,7512317,2680479077,209.12,2.38,15.0,79.45,1.11,98.0,54.7,2.16,11.62,30.02,43.79,122.41,2.24x
pkustk13,94893,6616827,562997403,118.12,1.46,8.17,27.13,0.91,37.72,29.85,1.14,6.77,11.33,19.24,58.53,1.96x
pkustk14,151926,14836504,1777485814,149.32,1.61,12.2,63.11,0.99,77.97,45.6,1.3,10.36,23.99,35.64,99.74,2.19x
pwtk,217918,11634424,626054402,108.31,1.22,1.16,21.68,0.85,24.95,50.18,0.91,0.88,5.16,6.95,180.06,3.59x
ramage02,16830,2866352,535195176,136.34,1.04,1.22,23.44,0.62,26.37,40.59,0.75,0.98,4.36,6.08,175.91,4.34x
rgg_n_2_21_s0,2097152,28975990,429575072,978.89,30.22,619.29,750.88,1.52,1401.98,0.61,0.63,0.09,0.04,0.76,1130.79,1844.71x
rgg_n_2_22_s0,4194304,60718396,939942910,1763.28,87.6,2017.69,2271.08,1.99,4378.42,0.43,0.67,0.09,0.04,0.8,2343.2,5473.02x
rgg_n_2_23_s0,8388608,127002786,2050055514,4274.11,251.9,6288.43,12361.5,2.67,18904.57,0.22,0.84,0.1,0.04,0.97,4228.66,19489.25x
rma10,46835,2374001,156480259,81.34,1.02,0.61,8.76,0.48,10.91,28.68,0.73,0.54,1.64,2.91,107.49,3.75x
s3dkq4m2,90449,4820891,258143357,100.71,1.04,0.45,9.33,0.5,11.37,45.41,0.67,0.43,1.96,3.06,168.53,3.72x
scircuit,170998,958936,8676313,48.84,1.31,3.9,2.67,0.85,8.78,1.98,1.09,2.35,2.18,5.62,3.09,1.56x
ship_001,34920,4644230,724065786,113.61,1.13,2.04,25.43,0.86,29.49,49.11,0.82,1.54,5.63,7.99,181.28,3.69x
shipsec1,140874,7813404,450639288,119.86,1.16,1.99,15.6,0.86,19.65,45.86,0.91,1.6,4.86,7.37,122.24,2.67x
sme3Dc,42930,3148656,289653169,396.92,12.56,376.51,911.86,1.06,1302.04,0.44,12.19,532.32,442.15,986.66,0.59,1.32x
smt,25710,3753184,605945948,161.29,1.2,3.17,31.26,0.83,36.51,33.2,0.83,6.02,6.86,13.72,88.36,2.66x
soc-LiveJournal1,4847571,68993773,5915633945,10755.05,,,,,,,0.66,0.09,0.04,0.78,15102.61,
soc-Pokec,1632803,30622564,1780294899,3500.94,,,,,,,0.72,0.09,0.03,0.84,4250.46,
ss,1652680,34753577,687203895,450.65,3.65,17.55,44.36,1.12,66.74,20.59,0.75,0.09,0.04,0.88,1565.76,75.84x
stokes,11449533,349321980,9424182529,5646.84,320.59,1237.26,273.31,11.13,1842.34,10.23,0.81,0.1,0.04,0.95,19888.96,1939.31x
sx-stackoverflow,2601977,36233450,19688258838,23488.18,,,,,,,0.64,0.09,0.04,0.76,51604.79,
t3dh,79171,4352105,255940359,70.26,1.21,5.19,20.54,0.85,27.83,18.39,0.89,0.0,0.0,0.89,574.13,31.27x
t3dh_a,79171,4352105,255940359,254.44,1.22,5.29,19.35,0.9,26.81,19.09,0.89,0.0,0.0,0.89,572.28,30.12x
t3dh_e,79171,4352105,255940359,155.37,1.22,5.28,19.47,0.89,26.9,19.03,0.92,0.0,0.0,0.92,553.41,29.24x
test1,392908,12968200,468508270,832.96,20.92,404.01,618.31,1.21,1044.5,0.9,13.86,330.54,380.82,725.21,1.29,1.44x
thread,29736,4470048,738161100,136.27,1.13,2.23,31.97,0.85,36.22,40.76,0.82,1.73,6.47,9.02,163.64,4.02x
