Matrix,Tile_fp64_ms,GPU_fp32_ms,GPU_fp64_ms,Speedup_fp64vsTile,Speedup_fp32vsTile,fp32_vs_fp64
bundle_adj,655.34,35.18,35.06,18.69x,18.63x,1.00x
cage14,187.27,160.92,223.02,0.84x,1.16x,1.39x
cage15,796.77,0.76,0.78,1021.50x,1048.38x,1.03x
cant,11.16,4.83,7.65,1.46x,2.31x,1.58x
case39,86.61,33.7,40.42,2.14x,2.57x,1.20x
channel-500x100x100-b050,154.89,0.76,0.76,203.80x,203.80x,1.00x
circuit5M,,0.8,0.8,,,1.00x
coPapersCiteseer,528.78,254.43,355.55,1.49x,2.08x,1.40x
coPapersDBLP,1086.62,331.21,332.23,3.27x,3.28x,1.00x
com-LiveJournal,,0.92,0.88,,,0.96x
com-Orkut,,,,,,
conf5_4-8x8-05,5.85,2.57,3.69,1.59x,2.28x,1.44x
consph,17.36,8.97,14.67,1.18x,1.94x,1.64x
cop20k_A,56.16,45.25,54.08,1.04x,1.24x,1.20x
crankseg_1,110.14,36.88,59.83,1.84x,2.99x,1.62x
crankseg_2,156.11,54.49,88.77,1.76x,2.86x,1.63x
delaunay_n23,149.73,0.95,0.97,154.36x,157.61x,1.02x
delaunay_n24,323.69,0.94,0.97,333.70x,344.35x,1.03x
dgreen,,96.31,96.58,,,1.00x
dielFilterV2clx,179.63,128.25,186.14,0.97x,1.40x,1.45x
dielFilterV2real,383.86,285.8,406.14,0.95x,1.34x,1.42x
dielFilterV3clx,372.35,230.41,331.4,1.12x,1.62x,1.44x
dielFilterV3real,1053.38,286.77,287.91,3.66x,3.67x,1.00x
eu-2005,248.35,162.56,213.27,1.16x,1.53x,1.31x
europe_osm,,0.96,0.98,,,1.02x
exdata_1,100.96,9.49,12.82,7.88x,10.64x,1.35x
fcondp2,27.51,7.48,12.38,2.22x,3.68x,1.66x
fem_hifreq_circuit,141.78,90.78,126.21,1.12x,1.56x,1.39x
fullb,32.28,11.3,18.4,1.75x,2.86x,1.63x
gearbox,22.15,9.85,15.71,1.41x,2.25x,1.59x
gsm_106857,,21.01,21.0,,,1.00x
gupta2,323.68,1.82,1.81,178.83x,177.85x,0.99x
gupta3,946.8,2.02,2.04,464.12x,468.71x,1.01x
halfb,32.81,9.22,15.25,2.15x,3.56x,1.65x
heart1,41.4,6.42,8.42,4.92x,6.45x,1.31x
higgs-twitter,,44.04,44.2,,,1.00x
hollywood-2009,,434.05,434.46,,,1.00x
hood,27.62,12.04,18.55,1.49x,2.29x,1.54x
human_gene1,4297.71,2934.38,4566.29,0.94x,1.46x,1.56x
human_gene2,2221.49,1285.16,2091.17,1.06x,1.73x,1.63x
in-2004,105.85,42.58,55.37,1.91x,2.49x,1.30x
indochina-2004,5626.84,0.79,0.77,7307.58x,7122.58x,0.97x
inline_1,180.78,113.81,168.96,1.07x,1.59x,1.48x
kim2,14.49,10.08,16.93,0.86x,1.44x,1.68x
kmer_A2a,,,,,,
kmer_P1a,,,,,,
kmer_U1a,,1.03,0.99,,,0.96x
kmer_V1r,,,,,,
kmer_V2a,,0.97,1.0,,,1.03x
kron_g500-logn16,8050.17,5155.21,7350.43,1.10x,1.56x,1.43x
kron_g500-logn17,42532.04,9424.74,9452.12,4.50x,4.51x,1.00x
kron_g500-logn18,62838.26,358.49,350.47,179.30x,175.29x,0.98x
kron_g500-logn19,,1084.15,1097.08,,,1.01x
kron_g500-logn20,,,,,,
kron_g500-logn21,,,,,,
laminar_duct3D,12.85,6.38,10.59,1.21x,2.01x,1.66x
ldoor,92.51,48.94,75.92,1.22x,1.89x,1.55x
ljournal-2008,,0.77,0.78,,,1.01x
m_t1,32.73,9.8,17.14,1.91x,3.34x,1.75x
mac_econ_fwd500,9.3,6.12,8.28,1.12x,1.52x,1.35x
mawi_201512020030,,0.99,1.0,,,1.01x
mawi_201512020130,,1.03,1.03,,,1.00x
mawi_201512020330,,1.07,1.07,,,1.00x
mc2depi,4.5,3.17,3.85,1.17x,1.42x,1.21x
mip1,494.98,32.05,32.09,15.42x,15.44x,1.00x
mouse_gene,14451.95,9770.74,13736.7,1.05x,1.48x,1.41x
msdoor,48.7,23.28,35.9,1.36x,2.09x,1.54x
mycielskian13,59.22,1.04,1.05,56.40x,56.94x,1.01x
mycielskian14,205.0,1.92,2.0,102.50x,106.77x,1.04x
mycielskian15,895.71,4.74,4.75,188.57x,188.97x,1.00x
mycielskian16,867.16,771.14,774.13,1.12x,1.12x,1.00x
mycielskian17,3354.81,2155.09,2162.24,1.55x,1.56x,1.00x
mycielskian18,16944.63,199.73,202.0,83.88x,84.84x,1.01x
mycielskian19,,,,,,
nd12k,167.82,48.15,83.84,2.00x,3.49x,1.74x
nd24k,315.74,98.81,172.35,1.83x,3.20x,1.74x
nd3k,48.65,12.56,19.84,2.45x,3.87x,1.58x
nd6k,84.38,22.82,39.28,2.15x,3.70x,1.72x
nemeth23,18.77,1.93,2.58,7.28x,9.73x,1.34x
nemeth24,16.27,1.97,2.65,6.14x,8.26x,1.35x
nemeth25,18.25,1.97,2.64,6.91x,9.26x,1.34x
nemeth26,15.9,1.96,2.66,5.98x,8.11x,1.36x
net150,53.61,30.29,43.61,1.23x,1.77x,1.44x
nlpkkt120,151.61,0.88,0.86,176.29x,172.28x,0.98x
nlpkkt160,393.14,0.77,0.79,497.65x,510.57x,1.03x
nlpkkt200,693.13,0.95,1.0,693.13x,729.61x,1.05x
nlpkkt240,,,,,,
nlpkkt80,61.06,43.04,65.79,0.93x,1.42x,1.53x
nv2,,,,,,
ohne2,116.53,77.21,107.67,1.08x,1.51x,1.39x
opt1,14.68,3.18,4.65,3.16x,4.62x,1.46x
packing-500x100x100-b050,64.55,0.79,0.78,82.76x,81.71x,0.99x
pattern1,427.47,5.98,6.02,71.01x,71.48x,1.01x
pdb1HYS,24.54,5.38,8.63,2.84x,4.56x,1.60x
pkustk04,54.05,18.52,27.78,1.95x,2.92x,1.50x
pkustk07,32.53,16.27,21.32,1.53x,2.00x,1.31x
pkustk08,40.48,16.63,23.6,1.72x,2.43x,1.42x
pkustk10,12.99,4.72,6.89,1.89x,2.75x,1.46x
pkustk11,21.45,7.67,11.32,1.89x,2.80x,1.48x
pkustk12,98.0,43.79,66.63,1.47x,2.24x,1.52x
pkustk13,37.72,19.24,28.51,1.32x,1.96x,1.48x
pkustk14,77.97,35.64,55.54,1.40x,2.19x,1.56x
pwtk,24.95,6.95,11.81,2.11x,3.59x,1.70x
ramage02,26.37,6.08,9.69,2.72x,4.34x,1.59x
rgg_n_2_21_s0,1401.98,0.76,0.78,1797.41x,1844.71x,1.03x
rgg_n_2_22_s0,4378.42,0.8,0.78,5613.36x,5473.02x,0.97x
rgg_n_2_23_s0,18904.57,0.97,0.98,19290.38x,19489.25x,1.01x
rgg_n_2_24_s0,,,,,,
rma10,10.91,2.91,4.34,2.51x,3.75x,1.49x
s3dkq4m2,11.37,3.06,4.94,2.30x,3.72x,1.61x
scircuit,8.78,5.62,7.25,1.21x,1.56x,1.29x
ship_001,29.49,7.99,13.4,2.20x,3.69x,1.68x
shipsec1,19.65,7.37,11.4,1.72x,2.67x,1.55x
sme3Dc,1302.04,986.66,1243.73,1.05x,1.32x,1.26x
smt,36.51,13.72,19.1,1.91x,2.66x,1.39x
soc-LiveJournal1,,0.78,0.79,,,1.01x
soc-Pokec,,0.84,0.86,,,1.02x
ss,66.74,0.88,0.84,79.45x,75.84x,0.95x
stokes,1842.34,0.95,0.97,1899.32x,1939.31x,1.02x
sx-stackoverflow,,0.76,0.78,,,1.03x
t3dh,27.83,0.89,0.9,30.92x,31.27x,1.01x
t3dh_a,26.81,0.89,0.9,29.79x,30.12x,1.01x
t3dh_e,26.9,0.92,0.91,29.56x,29.24x,0.99x
test1,1044.5,725.21,851.5,1.23x,1.44x,1.17x
thread,36.22,9.02,14.67,2.47x,4.02x,1.63x
torso1,175.35,26.97,46.75,3.75x,6.50x,1.73x
troll,30.27,9.99,16.5,1.83x,3.03x,1.65x
tsyl201,19.34,5.16,7.9,2.45x,3.75x,1.53x
uk-2002,,0.97,0.98,,,1.01x
vas_stokes_1M,316.92,217.51,297.53,1.07x,1.46x,1.37x
vas_stokes_2M,511.3,0.77,0.78,655.51x,664.03x,1.01x
vas_stokes_4M,938.61,0.79,0.77,1218.97x,1188.11x,0.97x
vsp_bcsstk30_500sep_10in_1Kout,5073.22,3378.85,4259.36,1.19x,1.50x,1.26x
vsp_msc10848_300sep_100in_1Kout,1013.78,768.55,953.52,1.06x,1.32x,1.24x
wb-edu,211.49,0.95,0.94,224.99x,222.62x,0.99x
webbase-1M,39.31,14.49,17.56,2.24x,2.71x,1.21x
wiki-topcats,,0.86,0.85,,,0.99x
wikipedia-20051105,,0.85,0.84,,,0.99x
wikipedia-20060925,,0.9,0.85,,,0.94x
wikipedia-20061104,,0.87,0.86,,,0.99x
wikipedia-20070206,,0.94,0.85,,,0.90x
x104,35.94,9.31,15.06,2.39x,3.86x,1.62x
