Group,Name,rows,cols,nnz,est_flops
TSOPF,TSOPF_RS_b2383,38120,38120,16171169,6860091994
TSOPF,TSOPF_RS_b2383_c1,38120,38120,16171169,6860091994
LAW,in-2004,1382908,1382908,16917053,206945568
Janna,CoupCons3D,416800,416800,17277420,716192999
Schenk_AFE,af_0_k101,503625,503625,17550675,611618154
Schenk_AFE,af_1_k101,503625,503625,17550675,611618154
Schenk_AFE,af_2_k101,503625,503625,17550675,611618154
Schenk_AFE,af_3_k101,503625,503625,17550675,611618154
Schenk_AFE,af_4_k101,503625,503625,17550675,611618154
Schenk_AFE,af_5_k101,503625,503625,17550675,611618154
Schenk_AFE,af_shell1,504855,504855,17562051,610919245
Schenk_AFE,af_shell2,504855,504855,17562051,610919245
Schenk_AFE,af_shell3,504855,504855,17562051,610919245
Schenk_AFE,af_shell4,504855,504855,17562051,610919245
Schenk_AFE,af_shell5,504855,504855,17579155,612109795
Schenk_AFE,af_shell6,504855,504855,17579155,612109795
Schenk_AFE,af_shell7,504855,504855,17579155,612109795
Schenk_AFE,af_shell8,504855,504855,17579155,612109795
Schenk_AFE,af_shell9,504855,504855,17588845,612784796
Belcastro,human_gene2,14340,14340,18068388,22766153760
PARSEC,Ga41As41H72,268096,268096,18488476,1275005016
INPRO,msdoor,415863,415863,19173163,883969431
LAW,eu-2005,862664,862664,19235140,428893069
Gleich,wikipedia-20051105,1634989,1634989,19753078,238646309
Mazaheri,bundle_adj,513351,513351,20207907,795478153
Lee,fem_hifreq_circuit,491100,491100,20239237,834100416
Janna,StocF-1465,1465137,1465137,21005389,301150245
DIMACS10,kron_g500-logn18,262144,262144,21165908,1708967825
Dziekonski,gsm_106857,589446,589446,21758924,803213142
SNAP,as-Skitter,1696415,1696415,22190596,290272457
Janna,Transport,1602111,1602111,23487281,344328432
Belcastro,human_gene1,22283,22283,24669643,27311909785
Dziekonski,dielFilterV2clx,607232,607232,25309272,1054883882
Bodendiek,CurlCurl_4,2380515,2380515,26515867,295352561
VLSI,dgreen,1200611,1200611,26606169,589606649
Freescale,FullChip,2987012,2987012,26621983,237270550
Koutsovasilis,F1,343791,343791,26837113,2094966518
vanHeukelum,cage14,1505785,1505785,27130349,488818681
Janna,Fault_639,638802,638802,27245944,1162083814
Janna,ML_Laplace,377002,377002,27582698,2018040299
Schenk,nlpkkt80,1062400,1062400,28192672,748142653
SNAP,wiki-topcats,1791489,1791489,28511807,453769539
ND,nd24k,72000,72000,28715634,11452606056
Belcastro,mouse_gene,45101,45101,28967291,18604996516
DIMACS10,rgg_n_2_21_s0,2097152,2097152,28975990,400356291
Sinclair,3Dspectralwave,680943,680943,30290827,1347446409
DIMACS10,coPapersDBLP,540486,540486,30491458,1720172236
SNAP,soc-Pokec,1632803,1632803,30622564,574313880
DIMACS10,coPapersCiteseer,434102,434102,32073440,2369732352
Dziekonski,dielFilterV3clx,420408,420408,32886208,2572507366
Mycielski,mycielskian16,49151,49151,33382480,22672783279
VLSI,ss,1652680,1652680,34753577,730819708
VLSI,vas_stokes_1M,1090664,1090664,34767207,1108277785
DIMACS10,packing-500x100x100-b050,2145852,2145852,34976486,570102026
SNAP,sx-stackoverflow,2601977,2601977,36233450,504563606
GHS_psdef,inline_1,503712,503712,36816170,2690883627
Janna,PFlow_742,742793,742793,37138461,1856863602
Gleich,wikipedia-20060925,2983494,2983494,37269096,465556665
Fluorem,RM07R,381689,381689,37464962,3677400653
VLSI,nv2,1453908,1453908,37475646,965964864
Gleich,wikipedia-20061104,3148440,3148440,39383235,492637369
Janna,Emilia_923,923136,923136,40373538,1765744777
Oberwolfach,boneS10,914898,914898,40878708,1826508275
GHS_psdef,ldoor,952203,952203,42493817,1896365043
DIMACS10,kron_g500-logn19,524288,524288,43562265,3619520058
Gleich,wikipedia-20070206,3566907,3566907,45030389,568485787
Oberwolfach,bone010,986703,986703,47851783,2320650830
Dziekonski,dielFilterV2real,1157456,1157456,48538952,2035524341
DIMACS10,delaunay_n23,8388608,8388608,50331568,301988928
Schenk_AFE,af_shell10,1508065,1508065,52259885,1810993280
Gleich,wb-edu,9845725,9845725,57156537,331805908
Janna,Hook_1498,1498023,1498023,59374451,2353318628
Freescale,circuit5M,5558326,5558326,59524291,637447537
Janna,Geo_1438,1437960,1437960,60236322,2523306968
DIMACS10,rgg_n_2_22_s0,4194304,4194304,60718396,878983405
Janna,Serena,1391349,1391349,64131971,2956058979
VLSI,vas_stokes_2M,2146677,2146677,65129037,1975980299
SNAP,soc-LiveJournal1,4847571,4847571,68993773,981964104
SNAP,com-LiveJournal,3997962,3997962,69362378,1203398002
GHS_psdef,audikw_1,943695,943695,77651847,6389574325
LAW,ljournal-2008,5363260,5363260,79023142,1164339781
Janna,Long_Coup_dt0,1470152,1470152,84422970,4847959846
Janna,Long_Coup_dt6,1470152,1470152,84422970,4847959846
DIMACS10,channel-500x100x100-b050,4802000,4802000,85362744,1517450659
DIMACS10,kron_g500-logn20,1048576,1048576,89239674,7594794670
Dziekonski,dielFilterV3real,1102824,1102824,89306020,7231947444
Schenk,nlpkkt120,3542400,3542400,95117792,2554029572
vanHeukelum,cage15,5154859,5154859,99199551,1908985468
Mycielski,mycielskian17,98303,98303,100245742,102226878011
DIMACS10,delaunay_n24,16777216,16777216,100663202,603978648
DIMACS10,europe_osm,50912018,50912018,108109320,229565150
Janna,ML_Geer,1504002,1504002,110686677,8145960222
LAW,hollywood-2009,1139905,1139905,113891327,11379224028
Janna,Flan_1565,1564794,1564794,114165372,8329359752
GenBank,kmer_V2a,55042369,55042369,117217600,249625261
Janna,Cube_Coup_dt0,2164760,2164760,124406070,7149462413
Janna,Cube_Coup_dt6,2164760,2164760,124406070,7149462413
FlowIPM22,Spielman_k500,41792002,41792002,125627004,377635513
DIMACS10,rgg_n_2_23_s0,8388608,8388608,127002786,1922810990
Janna,Bump_2911,2911419,2911419,127729899,5603771597
VLSI,vas_stokes_4M,4382246,4382246,131577616,3950638333
GenBank,kmer_U1a,67716231,67716231,138778562,284414667
MAWI,mawi_201512020030,68863315,68863315,143414960,298676454
DIMACS10,kron_g500-logn21,2097152,2097152,182082942,15809153446
LAW,indochina-2004,7414866,7414866,194109311,5081470740
FlowIPM22,Spielman_k600,72180402,72180402,216902404,651792613
Schenk,nlpkkt160,8345600,8345600,225422112,6088852638
SNAP,com-Orkut,3072441,3072441,234370166,17878089347
DIMACS10,rgg_n_2_24_s0,16777216,16777216,265114400,4189350908
MAWI,mawi_201512020130,128568730,128568730,270234840,567998679
Fluorem,HV15R,2017169,2017169,283073458,39724278245
GenBank,kmer_P1a,139353211,139353211,297829984,636531435
LAW,uk-2002,18520486,18520486,298113762,4798568196
Mycielski,mycielskian18,196607,196607,300933832,460620279248
Janna,Queen_4147,4147110,4147110,316548962,24162186521
VLSI,stokes,11449533,11449533,349321980,10657713787
GenBank,kmer_A2a,170728175,170728175,360585172,761571230
Schenk,nlpkkt200,16240000,16240000,440225632,11933411765
GenBank,kmer_V1r,214005017,214005017,465410904,1012159961
MAWI,mawi_201512020330,226196185,226196185,480047894,1018788096
LAW,arabic-2005,22744080,22744080,639999458,18009051421
Schenk,nlpkkt240,27993600,27993600,760648352,20668506923
Mycielski,mycielskian19,393215,393215,903194710,2074591976837
LAW,uk-2005,39459925,39459925,936364282,22219456033
LAW,webbase-2001,118142155,118142155,1019903190,8804668554
LAW,it-2004,41291594,41291594,1150725436,32068731206
GAP,GAP-twitter,61578415,61578415,1468364884,35013818276
SNAP,twitter7,41652230,41652230,1468365182,51764246661
GAP,GAP-web,50636151,50636151,1930292948,73584401490
LAW,sk-2005,50636154,50636154,1949412601,75049331135
Mycielski,mycielskian20,786431,786431,2710370560,9341071972639
SNAP,com-Friendster,65608366,65608366,3612134270,198869668306
GAP,GAP-kron,134217726,134217726,4223264644,132888291173
GAP,GAP-urand,134217728,134217728,4294966740,137438917888
Sybrandt,MOLIERE_2016,30239687,30239687,6669254694,1470880243352
Sybrandt,AGATHA_2015,183964077,183964077,11588725964,730026055406
